stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,120.34,1833.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0,0,0,0,0,0,0,0,0,0
  5-6,84.41,1984.68,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,34.45,9.37,0,15.66,45.35,0,0,0,0,0,0,0,0,0,0
  7-9,41.2,29.9,0,54.8,0,0,58,0,0,0,0,0,14.39,0,0,0,0,0,0,0,0,0,0,0,786.73,58.01,0,248.79,13.78,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,25.88,0,41.42,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.53,7.92,0,120.95,5.07,0,0,17.12,0,3.11,0,0,0,0,0
 14-21,0,0,0,0,9.37,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0.92,0,0,6.08,47.38,0,0,0.87,1.29,0,1.45,1.37,2.53,3.67,17.88,0,1.14,0,0
 24-34,0,0,0,0,1.56,1.27,5.64,0,0,0,8.17,0.91,0,0,0,1.01,0,0.7,0,0,12.25,0,0,3.11,96.84,0,1.39,0,2.31,0,0.85,0,0,0,22.12,0,2.84,0,1.68
 36-46,0,0,0,0,2.81,0,3.46,0,0,0.82,1.42,0,0,0,0,0,0,0.89,0,0,11.27,0,0,0.88,19.82,0,0,0,2.75,0,0,0,0,0,11.46,5.7,0.87,0,0
 48-58,0,0,0.54,0,0.7,0,9.15,0.69,0,1.43,0.92,0,0,0,0.55,0,0,0,0,0,10.48,0,0,2.01,14.91,0,0.84,0,0.4,0,0,0,0,0,2.73,0,2.25,0,0
 60-70,0,0,0,0,0.61,0,2.16,0,0,0,3.48,0,0,0,0.79,0,0,0,0,0,24.27,0,0,0,27.7,0,0,0,1.16,0,0,0,0,0,1.51,0,0.83,0.64,1.82
 72-82,0,0,0,0,2.83,3.83,10.27,0,0.78,0,9.84,0,0,1.12,0,7.99,0,0,0,0,15.9,0,1.02,1.73,6.29,0,1.04,0,1.4,0,0,0,0,0,0.63,0,3.28,0,0
 84-94,0,0,0,0,2.37,4.47,4.1,0,0,0,8.41,0,0,0,0,3.2,0,0,0,0,10.49,4.15,0,0,1.87,0,0,0,0.72,0,0,0,0,0,0,0,1.4,0,0
 96-106,0,0,0,0,1.98,16.87,2.31,0,0.58,0,6.2,1.72,0,0,2.85,0,0,0.94,0,0,15.02,1.24,0,3.43,14.11,0,0.65,0,5.46,0,0,0,0,0,4.66,0.87,3.54,0,1.41
108-118,0,0,0,0,3.69,4.45,0.93,0,0.61,0,17.41,0.6,0,0,0,0,3.94,1.84,0,0,17.6,0,1.21,0.75,3.91,0.94,0.43,0,2.12,0,0,1.69,0,0,0,0,0.86,0,0
120,0,0,0,0,3.26,0,0,0,1.16,0,2.18,1.1,0,5.06,0,0,0,0,3.29,1.54,17.26,0,0,1.02,5.37,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0
