stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11.76,3.37,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,185.99,0,0,39.56,19.39,1.87,0,0,0,0,3.24,0,0,6.57,0,0,0,3.04,0,0
 24-34,0,5.23,0.81,0,2.7,0,0,0,0.75,0,0,0,0,0,0,0,0,0,974.36,0.95,1.21,237.03,86.56,0,0,0,0,0.63,0,0,0,0.88,4.56,0,0,0,0,0
 36-46,0,0,0,0,2.77,0,0,3.38,2.06,0,0,0.84,1.78,0,1.76,0,1.69,0,1112.15,0,0.67,372.64,65.09,0,0,14.04,0,0,1.63,0,0,0,4.1,0,0,1.8,0,0
 48-58,0,1.47,0,0,43.33,0,0,8.86,4.23,0,0,0,0,0,0,1.59,1.02,0,1105.69,0.74,4.38,266.9,109.92,0,0,0,0,0,0,0,0,0,11.39,0,0,0,0,3.42
 60-70,0,12.69,0,0,22.56,19.53,0,0,11.07,11.13,0,0,5.85,6.15,0,0,0,0,1303.68,1.91,23.14,154.58,71.47,2.9,1.78,0,2.07,1.99,0,0,0,0,7.64,0,21.8,0,2.56,0
 72-82,0,7.85,2.57,0,86.38,14.13,7.4,4.08,8.11,0,0,0,0,0,0,0.69,0,0,1913.86,0,26.85,209.22,89.38,0,0,0,4.89,0,0,0,0,0,2.6,0,5.16,0,13.45,0
 84-94,0,14.3,0,0,63.99,23.31,0,1.47,3.35,0,0,1.94,1.41,0,0,0.73,0,0,1975.65,0,45.12,173.83,42.05,0,0,0.79,0,0,0,0,0,0,0,0,14.6,0,5.79,0
 96-106,0,19.04,4.98,2.47,78.16,24.2,1.85,4.53,15.01,3,0,0,0,2.19,7.1,0,0.72,0,1830.6,0,66.83,127.6,55.93,1.35,0,0.6,12.73,3.66,0,1.42,0,0,0,0,16.88,4.67,19.09,0
108-118,0,5.76,0,0,17.76,24.58,0,0.72,12.54,2.91,0,2.64,0,0,0,0.84,1.41,3.9,2329.7,0,62.86,122.15,98.42,0.55,0,0.82,2.11,2.34,0,0,0,0,0,0,40.06,0,26.71,0
120,0,5.38,0,0,35.11,39.87,0,0,8.69,1.34,0,0,0,0,0,0,1.19,0,1816.3,3.12,75.18,123.9,40.72,0,0,0,5.29,2.77,0,0,6.93,0,9.45,1.81,18.34,0,2.01,0
