stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.67,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
 60-70,0,0,0,0,0,89.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,7.63,15.36,1311.29,63.27,0,2.88,0,9.84,0,0,0,3.79,0,0,0,2.08,0,12.35,0.92,0,1.96,135.02,0,0,4.42,0,0,6.12,0,0,0,5.7,0,0,3.43,0.91,4.92
 84-94,0,0,0,6.91,12.2,2374.77,30.76,0,0,0,12.44,1.05,0,1.22,1.4,0,7.26,1.39,1.17,0,8.27,0,2.53,0,136.63,0,0,0,0,0,7.81,0,0,0,0,0.62,2.64,0,0,0
 96-106,2.68,0,7.14,58.06,192.02,13923.78,502.32,5.48,10.99,13.38,132.62,39.23,0,2.94,36.33,8.78,25.55,11.61,144.72,0,241.78,10.59,15.91,26.92,1155.24,0.79,25,8.79,0,13.85,174.65,3.82,0,0,38.05,5.64,15.03,47.49,19.75,48.59
108-118,0,0,7.56,132.64,133.62,41117.44,1096.03,10.69,27.56,28.05,223.15,38.6,2.74,0,19.28,14.55,43.06,8.92,91.51,31.39,495.55,27.77,8.04,45.36,2426.23,14.99,19.63,26.52,0,18.76,248.51,0,1.68,1.99,65.81,3.23,9.6,49.68,25.81,98.51
120,0,0,8.73,76.02,80.31,16152.41,593.42,58.84,3.98,10.89,318.68,11.74,0,18.56,45.41,20.31,0,4.99,43.03,1.79,423.35,5.93,48.79,30.63,2377.85,10.33,70.6,40.27,0,3.42,99.13,0,41.45,1.22,53.91,3.62,2.41,50.83,33.33,3.85
