stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.22,0,0,11.21,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.75,1.38,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,12.09,0,0,3.4,3.05,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,1.77,0,0,1.61,2.28,0,0,0,0,0.66,0,0,0,4.17,10.31,0,0,0.96,0,0
 36-46,0,0,0.87,0,1.06,0,0,1.22,0.75,0,0,0,1.01,1.36,0,0,11.41,0,0,1.41,5.89,0,0,0,0,0,0,0,0.74,0,11.67,0,0,0,0,0
 48-58,0,0,0.81,0,0.51,0,7.82,0,0,0,0,0,0,0,0,0.56,7.75,7.16,0,0.82,9.57,0,0,0,0,1.82,0,0,1.28,0,7.8,0,0,0.47,0,0
 60-70,0,0,2.41,0,1.02,2.44,2.91,1.81,6.18,0.75,0,0,0,1.96,0,0,25.53,0,0,2.07,17.74,0,0,0,0,0.56,0,0,0,0,2.07,1.22,0,1.45,0,0
 72-82,0,0,1.48,0,6.19,0,0,0.59,0,0,0,0.64,0,0.64,0,0,34.19,0,0,1.03,7.72,0.86,0,0,0,7.28,0,0,0,0,2.81,0,0,0,0,0
 84-94,0,0.66,3.37,3.82,1.26,0,0,0,0,0,0,1.05,0,0,0,0,34.02,0,1.17,1.52,16.09,0,0,0,0,12.07,0,0,0,0,2.86,0,4.92,0.86,1.06,0
 96-106,0,0,4.21,0,15.53,0,0,0,0,0.63,0,0,0.81,0,9.97,0,13.26,0,0,0,4.15,0,0,0,0,28.29,0,0,0,0,6.1,0,0,0,0,0
108-118,0,0,8.34,0,2.45,0,2.26,0.74,0,0,0,0,1.68,0,0,2.88,6.69,0,3.94,1.77,22.23,0,0.9,0,1,17.68,0,1.76,0.41,0,0,0,0,0.81,1.48,1.5
120,0,0,3.93,0,10.03,0,4.18,10.8,7.72,3.28,3.15,0,3.26,0,0,0,30.25,0,0,0,13.12,0,0,0,0,19.87,0,0,0,0,0,0,0,0,2.97,0
