stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,122.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.55,0,0,0,0
  5-6,22.87,438.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,0
  7-9,4.88,0,0,44.24,0,0,16.24,0,0,0,0,0,0,0,0,0,0,153.7,3.56,0,0,37.11,14.87,0,0,0,0
 10-12,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,107.27,0,0,0,18.99,0,0,0,0,0
 14-21,0,0,0,1.44,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0
 24-34,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.81,0,0.61,0,3.78,0,0.83,0.67,0,68.21,0,0,0,0
 36-46,0,0,0,0,0.98,0,0.63,2.77,0,0,0,0,0,0,0,3.23,0,9.37,0,0,0,0,145.15,0,0,0,1.11
 48-58,0,0,0,0,0.71,0,0,3.04,0,0,5.1,0,0,0,0.48,0,0,3.17,0,0,0,0,90.88,0,0,0,0
 60-70,0,0,0,0,0,0,2.5,10.3,0,0,0,0,1.98,0,3.8,0,0,12.28,0,0,0,0,145.33,0,0,0,0
 72-82,0,0,0.87,0,2.34,0,2.86,3.94,0,0,0,0,0,0.74,0,2.36,4.39,10.01,0,1.29,0,0,189.07,5.94,0,0,0
 84-94,0,0,0,0,3.85,0,0,0.57,0,1.31,0,1.21,5.48,0,0,0,0,9.27,0,1.1,0,0,197.21,0,0,0,0
 96-106,0,0,0,0,10.24,0,0,3.08,0,0.7,0,2.82,1.35,0,2.68,0,0,11.84,0,0,0,0,338.49,2.16,0.62,0,2.21
108-118,0,0,0,0.74,11.85,0,1.61,1.76,2.83,0,0,4.4,3.89,1.05,0,2.04,0,13.65,0,0,0,0,216.97,0,7.22,0,0
120,0,0,0,0,53.75,1.22,0,3.79,1.08,0,0,10.97,4.06,0,0,3.27,0,5.35,0,1.57,0,0,183.46,0,0,1.51,4.77
