stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0
  5-6,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.23,0,0,0,0,0,38.41,0,0,0,0,0,0,0,0,16.94,12.63,0,3.86,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,70.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,1.74,4.65,0,0,0,0,86.09,1.3,0,0,0,1.47,0,0,0,2.59,2.27,0,0,0.92,0,0.91,0,0
 24-34,0,0,0,0.94,2.8,0.83,0,0,0,76.33,0,0,0,0,0,0,0.93,0.77,11.1,0,0,0,0,1.16,3.85,0,0
 36-46,0,0,0,0,0,0,0,0,0,23.35,0,0,0,0,0,0,2.41,0,1.9,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.63,0,0,0,43.23,0,0,0,0,0,0.42,6.19,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.71,1.68,21.3,0,0,8.53,0,0,0,5.64,0,8.25,0,0,0,0.66,0,0,0,0
 72-82,0,0,1.39,0,0.68,2.11,2.44,0,13.37,17.39,0,0,0,0,0,3.63,16.83,0,0.55,0,1.33,0,0,0,0,0,0
 84-94,0,0,2.76,0,0,0,0,0.76,52.75,30.17,0,0,0,0,0,3.93,33.69,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.46,3.69,0.87,0,0,4.51,81.61,4.76,0,0,0,0,0,4.23,66.25,0,9.14,0,0,0,2.93,0,0,0,0
108-118,0,0,0,3.31,2.2,11.42,4.72,0.77,107.65,2.74,0,0.75,0.46,3.03,0,2.41,63.56,0,10.16,0,0,0,0,0,0,0,1.93
120,0,0,0,3.32,9.12,0,0,0,27.19,0,0,0,0,0,0,0,30.6,0,16.04,0,0,0,19.69,0,0,4.9,0
