stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.17,1.1,0,0,1.38,0,0,0,0,0,0,12.33,4.31,0,0,178.58,1.26,0,0,0.86,0,0,0.84,0.83,22.38,0,0,0,0,1.31
 24-34,0,0,1.04,3.27,6.53,0,0,16.78,0,2.06,0,0,0,0,38.38,10.73,2.43,0,799.62,0,1.53,0.72,0,0,0,0,0,145.17,0,0,0,0,0.72
 36-46,0,0,0,6.66,21.61,0.67,0,93.98,0,0,0,0,1.21,0,11.25,37.24,0,0,634.24,0,0.6,0,0,0,3.25,0,0,121.68,0,0,0,0,14.63
 48-58,2.31,0,2.6,11.24,30.14,0,0,217.7,0,0.92,0,0,3.18,0,19.44,67.32,0,0,432.36,0,0,0,0,0,0,0,0,61.22,0,0,0,0,19.46
 60-70,0,0,3.72,12.4,69.79,0,0,208.95,0,0,0,0,3.73,0,7.19,68.31,0,0.92,403.25,0,0,0,0,0,1.04,0,0,18.2,0,0,0.73,0,13.71
 72-82,0,0,7.45,104.88,108.72,0,0,264.98,0.86,2.38,0.61,0,1.23,0.96,2.31,201.25,0,0.76,340.86,0,1.36,0,0,0,0.96,0,0,11.03,1.36,0.87,1.5,0,4.01
 84-94,0,0,4.86,120.74,161.54,0,0,216.65,0,2.31,0,0,3.61,0,8.48,154.78,2.07,2.88,252.86,0,1.04,0.92,0,0,1.64,0,0,6.27,1.01,0,3.41,0,8.65
 96-106,0,0,2.26,191.43,181.7,0,4.41,336.81,2.1,0,0,0,1.02,0,1.76,172.07,1.44,11.25,404.87,0,0,0,0,5.42,9.89,3.42,0,0.87,0,5.76,0,0,13.82
108-118,0,0,0,102.82,199.95,2.21,0,147.84,0.49,0,0,0.8,3.1,0,0,170.77,3,6.88,314.36,0,2.22,2.27,0,0,0.46,0,0,3.21,0,0,0,0.61,12.91
120,0,0,11.56,32.42,132.11,1.47,0,277.87,0,0,0,0,0,55.15,0,224.64,0,14.54,181.62,3.89,2.74,1.12,0,19.05,0,0,0,8.17,0,0,0,0,9.68
