stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,vasculature
  3-4,113.57,1901.41,0,0,0,0,0,0,0,0,58.88,0,0,0
  5-6,48.89,537.52,0,0,0,0,0,12.73,0,0,25.19,0,0,0
  7-9,14.39,17.86,15.26,0,5.99,3.79,0,121.06,0,41.27,4.32,7.32,0,0
 10-12,0,0,0,0,0,4.92,0,24.19,0,18.33,0,0,6.85,0
 14-21,0,0,0,0.83,1.67,0,3.33,0,0,0.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96
 36-46,0,0,0,0,0,0,0.95,2.3,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.79,0,1.78,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0
 96-106,0,0,0,0,0,0,1.56,0,0,0,0.82,0,0,0
108-118,0,0,0,0,0,0,5.51,0,0,0,2.31,0,0,0
