stage,axial,blastomeres,epidermis,eye,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pgc,vasculature,xanthophores
  3-4,0,218.8,0,0,0,0,0,0,0,0,0,0,0,0,97.8,0,0,0
  5-6,7.66,266.2,0,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0
  7-9,0,0,0,0,0,3.62,0,0,0,0,0,0,20.45,3.76,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,1.96,0,0,0,0,0,0,5.1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0.86,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,0,0,0.42,0
 60-70,0,0,0.71,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.7,0,0,0.64,0,4.67,0,0,0.97,0,4.32,0,0,0
 84-94,0,0,1.76,2.66,0,0,0,0,1.76,0,0.61,0,5.71,0,2.02,0,0,0
 96-106,0,0,0,0.85,0,0,0.56,0,0,0,0,0,1.74,0,2.24,1.35,1.67,0
108-118,0,0,1.57,0.74,0,0,1.07,0,0,0,0.51,0,3.05,0,2.72,0,1.32,0.6
120,0,0,0,0,1.04,0,0,0,0,1.52,0,0,0,0,14.45,0,0,0
