stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.24,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.53,0,0,0,0,0,0,0,0
 14-21,0,0,2.65,0,0,0,1.45,0,0,0,0,0,0,0,0,0,30.91,14.07,1.68,0,3.75,0,0,0,0
 24-34,0,0,1.36,0,1.74,0,0,0,0,0,0,0,0,1.07,0,2.38,292.75,4.3,1.82,0.74,58.02,0,0,0,0
 36-46,0,0,3.99,0,5.27,0,0,0,0,0,0,5.07,0.61,1.51,0,1.2,473.24,2.7,4.08,0,54.77,0,5.92,0,0
 48-58,0,0,0.67,0,28.97,1.23,0.79,0,0,0.45,0,0,4.98,9.47,3.08,0.38,338.04,4.82,5.01,0,16.01,0,0,0,0
 60-70,0,0,0.68,0,121.79,0,3.66,0,0,0,1.38,0,5.25,12.13,0,0,695.54,1.29,0.63,0,17.7,0,0,0,9.12
 72-82,0,0,1.34,0.68,228.61,0,7.09,0.56,1.84,0,0,0,0,15.65,0,1.17,718.43,0,1.74,0,8.63,0,1.08,0,0
 84-94,0,0,4.6,0,153.63,0.94,14.1,0,0,0,0,0,0,11.15,0,0,566.78,1.97,7.4,0,6.72,0,0,1.66,0
 96-106,0,0,12.4,0,113,0,6.78,0,0,0.58,1.29,0,0,12.1,0,1.95,541.2,0.75,2.9,0,1.94,0,0,0,0
108-118,0,0,7.35,0,146.92,0,5.46,0.5,0,0,0,0,0,14.67,0,0,701.57,1,5.67,0,8.67,1.8,0,0,0
120,0,0,3.86,0,104.24,0,3.85,0,0,0,0,0,0,2.11,0,0,545.32,6.27,11.44,0,2.78,0,0,4.54,0
