stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,73.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,65.32,0,7.64,0,0,0,13.47,0,0,0,85.77,0,0,0,0,0,0,0,0,0,111.79,131.03,0,0,209.56,0,4.29,0,0,0,0,0,0,0,0,0
 10-12,4.89,31.55,163.46,0,0,0,70.51,0,0,0,10.07,0,0,0,0,0,0,0,0,0,545.08,162.66,0,0,528.29,0,0,0,128.35,0,6.54,3.28,0,0,0,0
 14-21,0,0,19.29,28.17,3.17,0,6.03,0,4.03,32.71,0,0,0,0,0,0,40.72,0,0,21.34,202.68,31.08,0,7.11,6.93,0,0,14.64,0,4.34,23.81,168.3,0,0,0,0
 24-34,0,0,2.83,1.39,0.67,0,17.26,0,21.16,2.15,0,1.85,0,0,0,2.48,36.22,0,0,11.62,430.73,1.88,0,4.66,0,0,0,0,0,0,5.17,120.15,0,3.89,0,1.65
 36-46,0,0,0,0.64,0,0,14.32,0,34.03,0.57,0,0,0,0,0,0,42.26,0,0,4.83,203.03,0.57,0,12.62,0,0,0,0,0.62,0,0,91.86,0,1.49,0,0
 48-58,0,0,0,1.75,0,0,15.7,2.44,96.78,0,0,0,0,0.4,0.48,0,82.05,0,1.41,2.28,110.3,0,0,5.9,0,0,0,0,0,0,0,75.81,0,1.46,0,0
 60-70,0,0,0,0,0,0,14.66,0,69.7,0.72,0,0.58,4.08,0,0,0,197.99,0,0,0,41.71,0,0,6.17,0,0,0,0,0,0,0,35.83,1.88,0,0,0
 72-82,0,0,0,4.41,0,0,11.98,1.27,42.45,0,0,3.1,0,0,0,0,195.52,0,0,1.76,46.67,0,0.53,14.04,0,3.3,0,0,0,0,0,9.18,1.48,0.94,0.71,0
 84-94,0,0,0,0.76,0,0,13.44,1.29,36.43,1.86,0,2.81,0,0,0,0,254.43,2.96,0.65,3.51,28.6,0,0,8.94,0,1.66,0,0,0,0,0,13.13,5.06,0,5.66,0
 96-106,0,0,0,0.68,0,1.05,13.02,0,36.39,0.74,0,3.68,0,0,0,0,136.21,0,1.82,1.11,31.95,0,0,11.56,0,0,3.91,0,0,0,0,6.58,0,0,0.59,0
108-118,0,0,0,0,0,0,4.22,0,24.54,3.59,0,0.74,1.42,0,0,0,78.37,0,0,3.18,25.17,0,0,4.61,0,0,0,0,0,0,0,3.64,1.1,2.67,0.48,0
120,0,0,0,2.48,0,0,1.75,0,29.51,0,0,0,4.93,0,0,0,86.54,0,4.29,0,27.05,0,0,14.77,0,0,0,0,0,0,0,0,0,0,3.35,0
