stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  5-6,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46,0,0,15.55,0,0,0,0,0,0,0,0
 14-21,0,4.7,0,2.34,0,0,0,0,0,0,0,0,0,0,4.44,0,0,23.22,0,0,0.87,0,0,0,5.06,1.9,0,1.64,0
 24-34,0,0,0,3.02,0,0,0,0.8,0,2.03,0,0,0,0,3.55,0,2.25,80.82,0.77,0,0,0,1.09,0,0,12.14,0,3.39,0
 36-46,0,0.58,0,9.6,0,0,0,5.56,0,0,0,0.77,0,0.7,13.88,0,0.89,81.66,0,0,0,0,0,0,0,31.27,0,2.49,0
 48-58,0,0,0,33.81,0,0,0.38,4.21,0,0,1.12,0,0,2.53,2.81,0,6.11,103.45,3.44,0,0,0,0,0,0,12.56,0,0,3.69
 60-70,0,0,0,27.08,0,0.68,0,3.77,0,0,0,0,0,0.95,9.83,0,0,110.56,0,0.95,0,0,7.27,0.59,0,14.28,0,0,0
 72-82,0,0,1.33,10.21,0,0,0,1.86,0,0,0,0,0,0,7.89,0,0.71,83.34,8.77,0,0,0,0,0,0,5.34,0,0.73,4.14
 84-94,0,2.14,0,15.14,0,0,0,7.13,0.77,0,2.12,0,0,0.91,4.64,0,0.55,28.52,0,0.63,0,0,0,0,0,0,0,2.16,0
 96-106,0,0,0,22.79,1.43,0,0,0.74,0,0,0,1.73,0,0,2.94,1.62,0,35.72,0,1.09,0,0,5.52,0,0,2.13,0,0,3.23
108-118,0,1.79,0,19.16,0,0,0,1.15,0,0,1.19,0,0,0,3.26,0,0.88,52.62,0,0.87,0,3.67,1.75,0,0,0,0.77,0,0
120,0,0,0,23.26,0,0,0,2.67,0,0,0,0,5.65,0,2.31,3.05,1.36,88.86,0,7.79,0,0,0,0,0,0,0,6.1,0
