stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.93,2265.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.77,0,0,0,0,0,0,0,0,0,0,0
  5-6,81.66,440.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.57,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.57,5.88,0,0,0,3.31,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,67.34,12.07,0,0,143.74,0,0,8.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,38.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.42,18.24,0,0,491.46,0,0,5.33,4.76,11.32,0,9.4,0,0,0,0,0,0
 14-21,0,0,0,0,36.55,2.87,0,1.19,0,1.06,6.04,0,0,0,0,0,0,0,0.86,48.51,0,0,19.69,55.16,23.12,0,0,55.02,0,0,0,166.25,5.82,7.86,125.51,79.57,0,0,0,0,0
 24-34,0,0,1.54,3.55,1.79,13.15,0,3.15,16.39,5.71,0.89,0,0,0,0.83,0.64,0,0,0,95.45,0,0,64.71,85.83,47.38,0,0.74,0,0,0,0,1.8,1.39,0,71.87,46.29,0,0,30.68,0,0.61
 36-46,0,0,0,6.62,0,2.29,0,0,91.93,17.01,0,0,0,0,0,3.51,0,0,0,100.7,0,0,101.18,55.98,13.23,0,1.22,0,0.97,0,0,14.68,2.21,2.1,0.96,14.03,0,0,13.48,0,0
 48-58,0.58,0,0,7.87,0,14.28,0,19.6,112.13,26.01,0,0,0,0,0,0.89,0,1.59,4.03,120.44,0,0,40.87,100.41,22.98,1.7,0,0,0,0,0,0,0,1.93,0,25.46,0,0,21.36,1.08,0
 60-70,0,0,0,0,0,6.66,6.45,26.62,115.15,102.31,0,0,1.77,0,0,0.6,0,1.92,0.71,245.02,0,11.34,17.58,68.36,7.42,0,1.72,0,4.14,0,0,0,0.62,3.27,0,25.33,0,4.36,14.97,3.96,0
 72-82,0,0,0,2.03,4.55,25.86,3.72,0,170.29,230.75,0,0,1.2,0,0,0.93,0,6.57,0,277.96,0,6.3,59.96,69.31,12.07,0,8.66,0,0,0,0,0,0,0,0,22.6,0,11.79,24.18,15.03,0
 84-94,0,0,0,2.06,0,36.1,5.32,3.28,99.19,129.83,1.03,0,2.7,0,0,0,0.58,8.27,0,218.47,0,12.74,27.79,57.63,3.82,0,2.57,0,2.02,0,0,0,1.27,2.14,0,22.12,0,22.77,19.76,12.28,0
 96-106,0,0,0,3.02,2.2,27.86,5.32,9.9,80.85,132.41,2.87,0,7.28,0.8,0,5.57,0.58,6.64,0,168.7,0,16.01,24.31,75.75,2.52,0,8.03,0,4.2,0,0,0,0.7,1.28,0,35.97,0,6.62,27.98,22.65,0
108-118,0,0,0,8.67,3.57,23.07,2.47,3.66,89.65,230.29,1.4,0,0.69,0.56,1.11,0,0,1.49,0,244.06,0.77,21.75,37.28,55.45,1.37,1.33,10.28,0,10.14,0,0,0,0.54,0.43,0,4.46,1.01,8.66,22.75,19.09,0
120,0,0,0,6.71,0,4.07,1.61,0,62.06,263.85,0,0,1.85,0,0,0,0,6.18,0,221.48,0,3.7,30.71,73.97,2.37,0,9.42,0,1.79,2.31,0,0,0,0,0,6.99,0,2.71,54.84,49.49,0
