stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,69.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,1.7,0,0,0,0,0
 36-46,0,0,0,0,0,102.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,64.96,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,1.24,0,0,0.55,0,0
 60-70,0,0,0,0,0,1228.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,1.73,0,0
 72-82,0,0,1.91,0.67,0,3725.18,0,0,0,22.99,0,0,0,0,0,6.42,0,1.79,0,18.36,0,0.51,1.96,80.91,0,3.05,0,0,3.12,2.8,0,9.93,0,0,0,0,0
 84-94,0,0.84,16.48,30.65,0,5450.02,0,0,0,12.04,0,0,0,2.65,0,0,0,0,4.77,46.9,1.71,9.45,0,97.56,0,2.19,4.47,0,12.64,0,18.45,7.23,2.04,0,5.3,1.55,0
 96-106,0,1.08,33.95,19.79,0.56,12107.09,1.83,1.85,1.11,39.97,4.8,1.32,2.64,4.85,1.96,1.33,1.15,33.35,0,70.11,3.17,4.01,9.91,171.61,7.29,0,2.7,11.74,23.03,0,40.42,9.35,5.08,0,7.08,0.69,7.31
108-118,0,0,18.71,28.37,1.31,16292.81,0,6.43,0.48,45.16,3.08,0,2.64,3.08,1.82,12.81,0.84,15.43,0,59.6,0.75,1.11,9.34,249.04,0.69,3.02,0.58,0,29.11,0.41,0.47,7.69,1.7,2.12,1.77,5.24,7.99
120,0,0,12.86,1.84,0,10765.73,1.01,5.82,0,73.46,2.52,0,0,3.07,0,3.86,16.1,1.23,0,105.6,0,0,6.56,276.66,0,4.78,18.73,17.39,4.09,4.09,0,16.26,0,0,4.37,0,2.33
