stage,endocrine.pancreas,erythrocytes,eye,glial,hatching.gland,immune,mesenchyme,neural,spinal.cord
  7-9,0,0,0,0,4.77,0,0,0,0
 24-34,0,0,0,0,0,0,0,8.54,1.81
 36-46,0,0,4.48,1.24,0,0,0,25.3,5.71
 48-58,0,0,3.73,4.91,0,0,0,38.62,15.35
 60-70,0,0,9,3.8,0,7.5,0,44.39,0.84
 72-82,0.79,0.96,9.28,0.51,0,0,0,46.15,11.44
 84-94,0,0,8.11,0.76,0,0,0,28.36,6.22
 96-106,0,0,1.21,0.6,0,0,1.81,7.52,4.02
108-118,0,0,10.01,0.61,0,0,0,14.26,0
120,0,0,6.44,9.58,0,0,0,87.1,25.17
