stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.37,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.22,664.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.12,15.74,0,6.83,0,0,18.83,0,0,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0,0,299.96,8.44,0,0,102.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.8,0,43.52,0,0,32.76,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,0,496.74,26.49,0,0,181.24,0,0,21.23,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,1.01,11.91,0.9,6.98,0,0.88,0,0.9,5.14,0.95,0,0,0,0,0,0,0,7.59,0.95,0,8.75,86.69,0,0,8.82,0,0,12.56,1.99,0.81,19.97,38.31,0,0,1.35,0,1.92
 24-34,0,0,0,0,9.28,0,17.12,0,0.7,0,7.38,0,0,0,0,0.61,0,0,0,1.37,27.76,0,0,14.1,227.87,0.61,1.75,2.09,0,6.99,0,0,0,3.37,47.92,0,0,3.48,0,0
 36-46,0,0,0,0,0,0,42.48,4.05,2.55,0.96,8.62,0,0,0,0,0.58,0,0,0,0,28.29,0,1.32,7.1,237.23,0.58,4.32,4.4,0,4.55,0,0.58,0,0,44.22,0,0,10.73,0,0
 48-58,0,0,0,0,8.81,0.56,79.09,1.62,0,5.15,23.75,0,0,0,0.37,0.52,0,1.26,2.25,0.56,26.14,0,0.42,2.52,237.99,0.95,2.86,0.46,0,7.32,0,6.1,0,0,28.22,0,0,10.64,0,0
 60-70,0,0,0,0,4.45,0.68,87.58,0,0,0.86,12.25,0,0,0,0,0,0.72,0.59,0,0,33.87,0,0,3.06,204.2,0,0,2.09,0,0.58,0,0,0,0,39.07,0,0,3.97,0.59,0
 72-82,0,0,0,0,3.47,3.5,33.82,0.55,0,6.03,5.46,0,0,0,0,0,0,0,0,0,62.71,0,0,1.43,129.42,0,1.91,1.64,0,1.4,0,0,0,0,14.95,0.51,0,0.87,0,0
 84-94,0,0,3.73,0,2.03,15.09,65.73,0,2.62,0,9.98,0,0,2.51,1.31,0,0,1.2,0,0,54.28,1.21,2.35,7.85,110.25,0,6.54,1.34,0,2.98,0,0,0,0,9.71,0.83,1.37,1.96,10.13,0
 96-106,0,0,1.08,0,6.08,5.97,62.09,0,0.91,0.84,41.4,0.74,0,0,1.57,0.61,0,2.31,0,0,56.92,0.68,1.41,7.71,165.45,2.3,11.73,2.38,0,4.44,0,0,0,0,3.89,0,0,1.64,0,1.44
108-118,0,0,0.71,0,4.46,0.98,66.37,1.63,1.15,0.86,28.42,1.03,0,0.49,0.84,0.67,1.08,0.99,0,0,47.93,0,0,9.02,163.68,0.71,2.87,6.51,0,15.76,0,0,0,0,16.83,0,0,0.69,2.26,3.54
120,0,0,0,0,9.01,0,10.81,2.3,3.01,0,6.67,3.42,0,0,0,0,0,0,0,0,53.3,0,0,4.06,196.9,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0
