stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.81,306.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.56,268.1,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.74,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,6.79,0,26.4,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.08,3.38,0,0,49.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.74,0,21.16,0,0,0,36.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.83,0,0,0,21.75,0,4.05,0,0,4.78,0,0,9.29,0,0,0,0,0
 14-21,0,0,0.82,132.84,196.73,4.29,0,45.14,0,0.91,0,49.56,11.02,0.96,0,0,0,0.93,2.64,1.13,13.94,0,0,6.04,483.67,0,1.37,10.14,0,0,55.78,2.22,3.07,61.42,0,0.83,417.38,0,0,8.65,0,0
 24-34,0.88,0,1.41,69.43,136.28,1.89,0,71.77,0,6.55,0,77.71,13.44,2.86,0,0,0,17.21,12.07,1.88,44.54,0,0,24.49,1258.76,0,21.77,14.7,0,0.99,139.46,0,1.1,61.54,6.9,0,469.04,0,0,82.56,0,8.1
 36-46,0,0,0,6.06,72.65,0,0,201.7,0,7.53,0,99.33,7.47,0,0,0,0.56,20.11,8.34,0,42.23,0,9.69,12.67,2085.96,0,12.34,7.62,0,0,169.42,0,0,43.21,0.64,0,598.27,0,0.85,57.99,0,5.07
 48-58,0,0,0,1.36,19.55,0,0,373.42,0,26.38,1.84,156.78,9.43,5.68,0,0,0.74,10.02,1.26,0,40.33,0,2.99,24.15,1909.77,0,6.9,22.58,0,0,100.6,0,0,8.43,0,0,476.54,0,0,63.87,0,5.12
 60-70,0,0,0,0,54.07,0,0,472.07,0,34.42,0,171.83,6.05,2.34,0,0,0.58,12.07,2.67,0,57.95,0,6.91,9.4,1488.41,0,2.82,10.44,0,0,75.39,0,0,8.35,0,0,321.9,1.44,0,61.97,0.81,5.76
 72-82,0,0,1.3,0,25.37,0.87,0,320.27,0,13.36,2.8,149.94,5.89,3.11,0,0,0,12.95,0.79,0,49.41,0,10.66,8.74,854.62,0,7.46,28.6,0,0,43.62,0,0,0.75,0,0,139.49,0,0,139.16,1.28,13.38
 84-94,0,0,0,1.01,28.03,2.38,0,334.07,0.56,18.26,3.75,126.62,15.28,2.5,0,0,4.43,12.53,6.68,0,49.43,1.74,13.23,4.2,741.85,0,5.14,29.47,0,0.6,91.68,0,0,4.09,0,0,125.81,0,0,86.76,0,0
 96-106,0,0,2.32,0,22.69,3.91,0,226.93,1.55,16,1.04,120.8,14.26,8.26,0.78,0,2.59,16.95,0.62,0,46.2,10.54,9.95,2.99,477.87,0,4.36,52.01,0,0,91.89,0,0,1.27,0,0,34.38,2.03,0,165.14,1.83,4.01
108-118,0,0,1.13,0.74,26.59,0.98,0.52,316.12,0,33.95,0.52,139.78,13.62,2.18,1.33,3.41,6.07,7.41,3.86,0,44.6,5.13,14.65,4.2,606.64,0,7.64,46.32,0,0,94.86,0,0,4.36,0.5,0,20.25,0.9,0.77,142.92,0,0
120,0,0,0,0,15.53,4.51,0,452.89,0,17.18,4.18,240.11,14.72,2.18,0,0,0,14.65,4.47,0,29.97,0,5.26,12.54,579.69,0,18.2,43.83,0,0,55.47,0,0,0,0,0,58.32,0,0,147.05,0,0
