stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,immune,liver,mesenchyme,mural.cell,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature
  5-6,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,16.27,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,96.67,0,2.73,0,5.36,0,0,0,0,0,0
 36-46,0,0,26.91,0,0,0,0,200.65,0,1.75,0,7.92,0,1.02,0,0,0.9,0
 48-58,0,0,0,0,9.11,0.78,0,207.76,0,0,0,10.03,0,0,0,0,0.65,0
 60-70,0,0,0,0,139.39,0,0,241.08,0,1.36,0,10.47,0,0,0,0,0,0
 72-82,0,0,0.59,0,273.08,1.5,0,175.52,3.06,1.62,0,13.86,6.21,0,0,1.94,0,0
 84-94,0,0,0,0,150.59,6.56,0,247.1,0,0,1.01,19.19,0,0,0,1.82,1.11,2.33
 96-106,0,0,0,0,219.68,5.21,0,243.87,0,2.3,0,9.78,0,0,0.57,0,1.16,2.73
108-118,0,2.53,0,0.72,156.16,0.64,0,194.4,0,0,0,9.97,0,0,0,0,0,7.07
120,0,0,1.22,0,49.07,0,0,277.18,0,0,0,0,0,0,0,0,0,3.35
