stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.91,943.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0
  5-6,30.55,982.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.38,0,12.08,0,0,0,36.65,0,0,0,0,0,11.12,0,0,0,0,0,0,0,0,0,0,0,287.21,0,0,0,97.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.77,0,19.13,0,6.05,0,41.05,0,0,0,0,0,24.7,0,0,0,0,0,3.73,0,0,0,0,0,312.09,6.76,0,0,90.19,0,5.33,0,3.9,0,0,0,0,0,0,0
 14-21,0,0,0,11,225.59,19.33,0,77.15,0,0,0,3.2,3.14,37.46,3.34,0,7.82,6.7,0,0,2.02,88.16,5.98,0,77.06,254.23,19.04,3.47,6.47,6.9,248.24,0,36.4,14.3,2.49,111.2,51.17,0,3.09,0,3.62
 24-34,0,0,0,0,2.64,1.09,0,11.62,0,0,0,0.7,0,0,0,0.96,0,0,0,0,0,5.51,0.97,0,2.45,124.8,7.24,0,0,0,14.55,0,0,0,0,0.62,21.68,0,0.61,0,0.6
 36-46,0,0,0,0,8.19,2.25,0,19.17,0,0,0,0,0.56,0.66,2.25,0,0.91,0,0.77,0,0,7.05,0,0,1.74,171.67,1.61,0,3.55,0,16.72,0,0,0,1.06,0,25.52,0,1.49,0,0
 48-58,0,0,0,0,2.24,0,0,41.78,1.76,0.62,2.5,3.07,0,0,0,0,0,0.53,0,0.37,0,7.45,0,0,2.65,120.28,1.22,0,0.42,0,2.75,0,0,0,0,0,18.5,0,0,0,0
 60-70,0,0,1.2,0,10.21,0,0,26.26,0.79,0,2.4,6.62,0.98,0.66,0,5.85,0,0,0,0,0,24.43,0,0,0,132.38,0,0,6.62,0,2.63,0,0,0,0,0,5.08,0,1.08,0,4.97
 72-82,0,0,0,0,6.26,22.27,0,53.44,2.18,0,0,0.7,0,0,0,0,0,0,0,0,0,15.78,2.44,1.08,0,37.53,0,0,0,0,0.7,0,0,0,0,0,4.89,3.83,4.28,0,3.55
 84-94,0,0,0,0,6.48,13.42,1.15,108.37,1.81,0,5.47,4.76,0.96,0,0,0.57,1.02,0.87,0.71,6,0,22.01,0,0,0.88,40.12,4.94,0,1.23,0,0.86,0,0,1.56,0,0,5.15,5.44,3.48,3.32,0
 96-106,0,0,0.99,0,1.6,5.84,0,81.51,0,0.59,1.54,6.19,1.15,0,0,1.85,2.71,0.97,0,0.82,0,11.98,0,0.67,0.74,24.31,3.47,0,1.71,0,2.15,0,0,0,0.69,0,2.43,1.27,1.31,0,0
108-118,0,0,0,0,5.08,6.25,2.58,146.93,0.99,1.23,3.68,13.4,2.49,0,0,3.04,1.5,0.82,0.6,5.77,1.72,24.52,0,0,1.93,86.99,1.04,1.12,2.57,0,14.45,0,0,1.91,0.88,0,0,3.15,6.35,1.06,0
120,0,0,0,0,0,8.71,1.23,161.94,5.06,0,0,13.62,0,0,0,0,0,0,4.72,7.09,0,3.25,0,0,5.4,18.31,2.28,0,3.98,0,5.69,0,0,0,0,0,0,0,1.23,0,0
