stage,epidermis,eye,immune,neural,otic
 36-46,0.69,0,0,0,0
 48-58,0,1.64,0,0,2.13
 60-70,0,3.93,0,0,0
 72-82,0,3.26,0,0.58,0
 84-94,0,14.91,0,0,0
108-118,0,5.47,2.94,0,0
