"stage","tissue","counts_sum","Total_sum"
"21Day","Neural progenitor cell",26.77,543.51
"22Month","Neural progenitor cell",0.55,543.51
"24hpf","Neural progenitor cell",416.81,543.51
"3Month","Neural progenitor cell",0.96,543.51
"72hpf","Neural progenitor cell",98.42,543.51
"22Month","Spermatocyte",1.09,249.37
"3Month","Spermatocyte",248.28,249.37
"21Day","Neural cell",32.12,198.86
"22Month","Neural cell",1.09,198.86
"24hpf","Neural cell",12.26,198.86
"3Month","Neural cell",5.76,198.86
"72hpf","Neural cell",147.63,198.86
"21Day","Hepatocyte",1.34,73.47
"22Month","Hepatocyte",53.57,73.47
"3Month","Hepatocyte",18.56,73.47
"21Day","Epithelial cell",5.35,62.16
"22Month","Epithelial cell",8.75,62.16
"24hpf","Epithelial cell",8.17,62.16
"3Month","Epithelial cell",37.75,62.16
"72hpf","Epithelial cell",2.14,62.16
"21Day","Mesenchymal cell",9.37,58.98
"22Month","Mesenchymal cell",4.37,58.98
"24hpf","Mesenchymal cell",20.43,58.98
"3Month","Mesenchymal cell",4.48,58.98
"72hpf","Mesenchymal cell",20.33,58.98
"22Month","Primordial germ cell",6.56,35.04
"3Month","Primordial germ cell",28.48,35.04
"21Day","Retinal cone cell",26.77,34.26
"72hpf","Retinal cone cell",7.49,34.26
"21Day","Retinal cell",16.06,33.09
"22Month","Retinal cell",6.01,33.09
"3Month","Retinal cell",0.32,33.09
"72hpf","Retinal cell",10.7,33.09
"21Day","Keratinocyte",2.68,30.95
"24hpf","Keratinocyte",8.17,30.95
"3Month","Keratinocyte",5.12,30.95
"72hpf","Keratinocyte",14.98,30.95
"21Day","Radial glia",5.35,29.21
"3Month","Radial glia",0.32,29.21
"72hpf","Radial glia",23.54,29.21
