"stage","tissue","counts_sum","Total_sum"
"10dpf","central_nervous_system",442.83,2630.16
"10hpf","central_nervous_system",166.09,2630.16
"12hpf","central_nervous_system",59.55,2630.16
"14hpf","central_nervous_system",46.95,2630.16
"16hpf","central_nervous_system",91.08,2630.16
"19hpf","central_nervous_system",107.02,2630.16
"24hpf","central_nervous_system",91.6,2630.16
"2dpf","central_nervous_system",625.26,2630.16
"3dpf","central_nervous_system",846.1,2630.16
"5dpf","central_nervous_system",153.68,2630.16
"10dpf","mesenchyme",113.96,1128.01
"12hpf","mesenchyme",6.29,1128.01
"14hpf","mesenchyme",4.7,1128.01
"16hpf","mesenchyme",22.49,1128.01
"19hpf","mesenchyme",6.71,1128.01
"24hpf","mesenchyme",12.86,1128.01
"2dpf","mesenchyme",405.65,1128.01
"3dpf","mesenchyme",168.76,1128.01
"5dpf","mesenchyme",386.59,1128.01
"10dpf","periderm",60.45,833.84
"10hpf","periderm",93.15,833.84
"12hpf","periderm",37.85,833.84
"14hpf","periderm",25.6,833.84
"16hpf","periderm",46.41,833.84
"19hpf","periderm",12.91,833.84
"24hpf","periderm",18.02,833.84
"2dpf","periderm",213.39,833.84
"3dpf","periderm",45.76,833.84
"5dpf","periderm",280.3,833.84
"10dpf","lateral_mesoderm",4.98,474.11
"10hpf","lateral_mesoderm",75.37,474.11
"12hpf","lateral_mesoderm",36.51,474.11
"14hpf","lateral_mesoderm",12.67,474.11
"16hpf","lateral_mesoderm",37.57,474.11
"19hpf","lateral_mesoderm",14.76,474.11
"24hpf","lateral_mesoderm",22.59,474.11
"2dpf","lateral_mesoderm",215.07,474.11
"3dpf","lateral_mesoderm",16.5,474.11
"5dpf","lateral_mesoderm",38.09,474.11
"10dpf","paraxial_mesoderm",11.18,388.58
"10hpf","paraxial_mesoderm",89,388.58
"12hpf","paraxial_mesoderm",27.49,388.58
"14hpf","paraxial_mesoderm",19.95,388.58
"16hpf","paraxial_mesoderm",29.88,388.58
"19hpf","paraxial_mesoderm",5.41,388.58
"24hpf","paraxial_mesoderm",21.54,388.58
"2dpf","paraxial_mesoderm",114.16,388.58
"3dpf","paraxial_mesoderm",13.95,388.58
"5dpf","paraxial_mesoderm",56.02,388.58
"10dpf","intermediate_mesoderm",42.22,302.31
"12hpf","intermediate_mesoderm",9.04,302.31
"14hpf","intermediate_mesoderm",10.93,302.31
"16hpf","intermediate_mesoderm",5.29,302.31
"19hpf","intermediate_mesoderm",2.51,302.31
"24hpf","intermediate_mesoderm",4.6,302.31
"2dpf","intermediate_mesoderm",102.18,302.31
"3dpf","intermediate_mesoderm",19.06,302.31
"5dpf","intermediate_mesoderm",106.48,302.31
"10dpf","hematopoietic_system",52.96,232.59
"14hpf","hematopoietic_system",16.8,232.59
"16hpf","hematopoietic_system",3.62,232.59
"24hpf","hematopoietic_system",6.23,232.59
"2dpf","hematopoietic_system",54.9,232.59
"3dpf","hematopoietic_system",8.86,232.59
"5dpf","hematopoietic_system",89.22,232.59
"10dpf","neural_crest",15.12,116.33
"16hpf","neural_crest",4.17,116.33
"19hpf","neural_crest",1.67,116.33
"24hpf","neural_crest",6.17,116.33
"2dpf","neural_crest",46.11,116.33
"3dpf","neural_crest",4.86,116.33
"5dpf","neural_crest",38.23,116.33
"10dpf","endoderm",8.05,56.08
"12hpf","endoderm",2.01,56.08
"16hpf","endoderm",1.71,56.08
"19hpf","endoderm",1.57,56.08
"24hpf","endoderm",2.13,56.08
"2dpf","endoderm",12.8,56.08
"3dpf","endoderm",8.4,56.08
"5dpf","endoderm",19.41,56.08
"24hpf","notochord",0.89,20.96
"2dpf","notochord",5.96,20.96
"5dpf","notochord",14.11,20.96
