stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,2.68,0,0,0,0,0,8.03,0,2.68,5.35,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,2.68
3Month,0.32,0.96,0.32,7.68,0,0.96,0.96,2.56,21.44,0,6.72,24,4.8,5.12,2.88,22.72,2.56,0.32,0,1.28,0.32,0.32,0,0.32,0,0.64,0.32,6.4,0,0.64,0.32,60.79
22Month,0.55,1.09,0.55,3.83,0,1.64,0,1.09,21.87,1.09,24.05,10.93,4.37,3.83,0,16.95,2.73,0,1.09,0.55,0,0.55,0,0.55,1.09,0.55,0,1.09,0,0,0,16.95
