stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,12.26,0,57.21,8.17,0,0,0,0,0,0,0,0,0,12.26,49.04,20.43,65.38,0,0,0,0,32.69,331,0,0,12.26,0,0,0,0,0,4.09,0,0,0
72hpf,7.49,2.14,0,22.47,7.49,4.28,0,0,0,0,0,0,0,0,32.09,62.05,2.14,9.63,0,5.35,0,1.07,43.86,43.86,2.14,1.07,12.84,0,0,2.14,1.07,0,1.07,0,0,0
21Day,24.09,5.35,5.35,302.51,2.68,30.79,14.72,1.34,2.68,0,6.69,4.02,24.09,8.03,14.72,84.33,21.42,50.86,0,0,2.68,1.34,54.88,41.49,1.34,2.68,22.76,12.05,0,8.03,2.68,2.68,2.68,0,0,8.03
3Month,0.32,0.64,0.32,74.87,0.96,0,0,5.44,4.48,0,41.59,3.2,0.96,24,3.2,20.16,5.44,6.72,0.64,0.64,1.92,1.6,3.2,0.64,4.8,0.64,0.32,0.64,24.64,0,0,0,0,1.6,4.16,2.56
22Month,0,5.47,7.11,49.2,1.09,0,0,8.2,5.47,52.48,282.07,1.64,1.64,70.52,1.09,4.37,9.29,8.75,0.55,10.39,3.28,0.55,1.64,1.09,6.01,1.09,0,0,9.29,1.09,0.55,0,0,0,0,0.55
