stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,2.14,2.14,0,1.07,0,1.07,0,0,4.28,0,5.35,1.07,0
21Day,1.34,0,0,0,0,2.68,0,0,5.35,1.34,1.34,0,0
3Month,0,0,1.6,0,0,0,0.32,0.32,0,0,0,0,0.32
22Month,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0
