stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,6.42,1.07,1.07,0,0,2.14,0,0,0
21Day,0,0,0,2.68,2.68,0,0,0,0,0,0,0,0,0,0,4.02,0,0,2.68,0,0,0,0,1.34,0,0,0
3Month,0,0,0,1.28,0,0,0,0,0.32,0.32,0.32,0,0.64,0,0.64,0,0.32,0,0.32,0,0,1.6,0,0,0,0.96,0.32
22Month,0,1.09,0.55,2.73,0,0.55,1.09,0.55,0,63.96,0,0.55,0.55,0.55,0,1.64,0,0.55,0,0,0,1.64,0.55,0,0.55,0,0
