stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,0,0,0,0,0,0,0,1.07,0,4.28,0,0,4.28,1.07,0,5.35,0,0,2.14,0,1.07,0,0,0
21Day,0,1.34,2.68,4.02,1.34,0,2.68,0,2.68,1.34,1.34,1.34,0,0,2.68,1.34,0,1.34,0,0,0,1.34,0,0,0,1.34
3Month,0,0,2.56,0,0,3.2,0,0.64,0,0.64,0.96,0.96,0,0.32,0,0,0,0,0.32,0,0,0,0,0.32,0.64,0.32
22Month,0,0,0.55,0,0.55,7.11,0,1.09,0,0,0.55,0,0.55,0,0,0,1.09,0,0,0.55,0,1.09,0,0.55,0,0
