stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,4.09,0,4.09,0
72hpf,0,0,1.07,0,1.07,0,0,3.21,1.07,0
21Day,1.34,0,0,0,1.34,2.68,4.02,0,1.34,0
3Month,0.64,0,0,0.32,0,2.24,0.32,0,0,0
22Month,0.55,1.64,2.73,0,0,0,0.55,0,0,0.55
