stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,4.28,0,0,0,0,0,0,0,0,0,0,0,2.14,33.16,0,4.28,0,0,0,0,10.7,4.28,0,2.14,0,0,1.07,0,0,0,0,0
21Day,4.02,1.34,0,41.49,2.68,0,1.34,0,0,0,0,0,1.34,2.68,2.68,0,68.27,4.02,9.37,0,0,0,0,6.69,1.34,0,2.68,1.34,0,2.68,1.34,0,0,0,4.02
3Month,0.96,4.16,6.08,70.71,0,0.96,1.28,0,20.8,14.08,0,84.47,15.68,3.2,104.62,5.76,12.16,18.24,21.44,4.8,0.64,9.92,3.2,1.92,0.32,6.4,0.32,3.52,19.52,0.32,0,0.64,2.88,2.56,39.35
22Month,0.55,9.29,5.47,43.19,0,0.55,0.55,0.55,17.49,36.08,7.65,134.48,14.21,2.19,107.69,4.37,6.01,25.69,27.88,2.19,4.37,5.47,0,1.64,0,5.47,0,0.55,6.01,0,0.55,0,1.09,0,15.85
