stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
21Day,0,6.69,1.34,0,0,0,0,0,0,4.02,1.34,0,0,0,0,1.34,0,0
3Month,0.64,6.4,0,0.32,0.32,0.32,0.64,0.32,0.64,0.64,0.32,0.32,0.32,0,0.64,0,0.32,0.32
22Month,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0.55,0,0
