stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,4.02,0,0,0,0,0,2.68,0,0,0
3Month,7.04,0.96,0.96,2.56,0.64,0.32,9.6,0.32,0,0.32
22Month,1.09,0.55,0,0,1.09,0,1.64,0,0.55,0.55
