stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,4.09,16.35,16.35,0,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,3.21,1.07,0,0,0,0,0,0,0,0,0,1.07,5.35,0,5.35,0,2.14,0,0,16.05,10.7,1.07,0,7.49,0,0,0,1.07,1.07,0,0
21Day,1.34,1.34,0,10.71,6.69,1.34,0,0,0,0,0,0,2.68,0,0,6.69,1.34,13.39,0,0,0,0,6.69,6.69,0,0,6.69,0,0,1.34,0,0,0,1.34
3Month,0,0.64,0,7.04,0,0.32,0.96,2.24,0,0,4.48,0.64,0.32,1.6,0,1.92,3.2,1.28,0,0,0.32,0.32,0.32,0,0,0.32,0,0.32,2.24,0,0,0.32,3.52,0.96
22Month,0,1.09,0.55,1.64,0,0,1.09,2.73,0.55,0,5.47,0.55,1.09,0,0,0.55,1.09,0.55,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
