stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,4.28,3.21,1.07,0,1.07,0,0,0,0,0,0,0,0,3.21,3.21,0,1.07,0,1.07,0,330.57,18.19,1.07,3.21,1.07,0,0,3.21,0,0,0,0,0
21Day,1.34,0,5.35,2.68,1.34,0,0,0,0,0,0,0,0,1.34,1.34,6.69,2.68,0,1.34,0,1.34,0,199.44,5.35,0,10.71,1.34,2.68,0,0,0,4.02,0,0,1.34
3Month,0,0.32,3.2,0.64,0,0,0,0.32,0.32,0.96,0,6.72,0.96,0,1.6,7.68,1.28,0.32,2.24,0.32,0,0.64,1.28,0,0.32,2.24,0.32,0.96,0.64,0,0,0,0.64,0.96,0.32
22Month,1.09,1.64,2.19,0,0,1.09,0,0,0,0.55,0.55,39.36,0.55,0.55,1.09,4.92,0,1.09,3.83,0,0.55,0,0.55,0,0.55,1.09,0,0,0.55,0,0.55,0,0,0,1.09
