stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,1.07,0,0,2.14,1.07,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,0.64,0.96,0,0,0.32,0,0.32,0.32,0,0,0,0.64,0,0,4.48,0,0.32,1.6
22Month,0,0,2.19,0.55,0,0,0.55,0.55,0,0.55,0.55,0,0,0.55,0.55,7.11,0,0,0
