stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,0
21Day,2.68,0,0,0,1.34,1.34,1.34,4.02,0,2.68
3Month,0.64,0,0,0.32,0,0,1.92,0,0.32,0
22Month,0,0.55,2.19,0,0,0,8.2,0,0,0
