stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,4.09,0,4.09,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,0,0,0,0,0,8.56,0,3.21,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,1.34,10.71,0,1.34,0,0,0,0,0,1.34,0,4.02,0,5.35,0,2.68,0,0,1.34,0,1.34,0,1.34,0,0,0
3Month,0,15.68,0,0,0,0.64,0,0.64,0.32,0.32,1.6,1.6,0.96,0.64,0.32,0.32,0.32,0.96,0,1.92,0,0.64,0,0.32,9.28,0.32
22Month,0,2.19,0,0,0,1.09,0,1.64,0,0,1.09,2.73,3.28,0.55,0,0,0,1.09,0,1.09,0,1.64,0,0,0,0
