stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,32.69,4.09,0,8.17,0,12.26,8.17,273.79,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,10.7,31.02,1.07,0,0,0,0,0,0,0,0,0,0,6.42,6.42,0,7.49,0,1.07,49.21,32.09,0,1.07,0,7.49,0,1.07,16.05,2.14,0,0,0,0
21Day,1.34,0,0,6.69,5.35,2.68,0,4.02,0,0,0,0,0,0,0,0,0,8.03,0,10.71,0,0,21.42,9.37,1.34,0,0,2.68,1.34,0,1.34,0,2.68,0,0,0
3Month,1.28,3.2,1.92,122.54,4.48,0,1.6,0.64,6.72,5.76,0.32,0,41.91,11.2,1.28,16,16.32,8.96,9.92,7.68,3.84,8.96,33.59,2.24,5.12,0.32,0,0.96,5.76,54.71,0.96,0,1.28,3.2,1497.68,6.72
22Month,0,0,0,43.73,1.09,0,0.55,0,1.09,1.09,1.64,0,12.03,0.55,0.55,1.09,1.64,0,4.92,2.19,1.09,1.09,6.01,2.19,0.55,0.55,0.55,0,0,15.85,1.09,0,0,0,5.47,0
