stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,0.32,0.64,0.32,0.64,0.32,6.72,0.32,11.52
22Month,0,0,0,0,0,3.83,0,0
