stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,6.42,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,2.68,9.37,0,0,0,1.34,0
3Month,1.28,2.24,1.92,25.6,0.32,0.32,5.76,13.12,0,54.07,21.12,0.64,19.52,5.12,11.52,14.08,13.12,1.6,0,4.8,9.28,3.84,0.32,3.52,2.56,0.64,13.76,1947.53,2.88,0.64,7.36,1993.92,8.64
22Month,0,0.55,0,1.64,0,0,0,1.64,1.09,21.32,0.55,0.55,0,0,0,0,2.19,0,0.55,0,0,0,0,1.09,0,0,0.55,57.95,2.73,0,0,2.73,0.55
