stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,0,0,0.32,0.32,0.32,0.32,0,0,0.96,0.32
22Month,0,0,0,0,3.83,0,0.55,0.55,0.55,1.09,0,1.09,0
