stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,4.09,0,0,245.18,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,2.14,0,5.35,6.42,11.77,0,0
21Day,1.34,0,8.03,0,0,0,0,0,16.06,1.34,1.34,0,5.35,2.68,1.34,0,0
3Month,0,0,0.64,0,0.64,0.32,0,0.64,0,0,0.64,0.32,0,0,0,0.32,0.32
22Month,0,2.19,1.09,0.55,10.93,0,0.55,1.09,0,1.09,3.28,0,0,0,0,0.55,0
