stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0
3Month,1.92,1.92,24.64,0.64,0.96,2.56,5.76,42.87,9.6,1.28,13.44,1.92,6.08,7.36,5.44,0.32,0.32,1.92,1.92,1.28,0.32,0.64,1.28,0,6.72,38.71,0.96,4.16,1782.44,7.68
22Month,2.19,1.09,6.01,0,0.55,0,3.28,36.08,0.55,1.64,2.19,0,2.73,3.28,4.37,0,0.55,0.55,0,1.09,0,0,0,0.55,0.55,23.51,0,1.64,2.19,0.55
