stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,8.17,16.35,0,0,0,4.09,4.09,12.26,73.56,0,8.17,163.46,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,3.21,7.49,0,7.49,2.14,17.12,22.47,0,8.56,0,0,6.42,1.07
21Day,1.34,9.37,1.34,0,1.34,0,1.34,2.68,8.03,0,4.02,6.69,0,4.02,0,0,1.34,1.34
3Month,0,0.96,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0.32,0.96,0,0
22Month,0,0.55,0,1.64,0,0,0.55,0,1.09,0,0,0,0.55,0,0,1.09,0,0
