stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,49.21,1.07,0,0,0,0,0,0,14.98,0,1.07,0,0,0,0,16.05,1.07,0,0,0,0,2.14,0,0
21Day,1.34,0,6.69,65.59,1.34,0,0,0,0,0,0,10.71,0,6.69,0,1.34,1.34,0,13.39,6.69,0,4.02,0,0,0,0,0
3Month,0.32,0,3.52,2.56,0,0.96,0.32,0,2.56,0.32,0,1.92,0.32,0.96,0,0,1.28,0.64,0.32,0,0.64,0,3.84,0,0,1.28,0.32
22Month,0,0,2.19,0,0,1.09,0.55,1.09,7.11,0,3.83,0,0.55,0.55,0.55,0.55,0,0.55,0,0,1.09,0,4.37,0.55,0,0,1.09
