stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,2.14,2.14,0,5.35,0,0,0,0,0,0,0,0,0,0,0,7.49,1.07,17.12,0,0,0,36.37,96.28,1.07,0,5.35,0,0,405.45,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,8.03,89.68,0,0,0,4.02,25.43,0,0,5.35,4.02,0,64.25,0,1.34,1.34,0,0,1.34
3Month,0,0.96,3.52,0.32,0,0.64,0,0.32,0.64,1.6,0,2.88,0.64,0,2.24,0.96,0.96,1.28,108.14,3.2,2.24,0.32,0,0,0,0.32,0,0.32,1.6,0.64,0,0,0,1.6,0.64,1.6
22Month,0,4.37,3.28,0,0,0,0.55,0,0,1.09,0.55,11.48,0.55,0.55,2.73,0,0.55,1.09,91.29,0,0,0.55,0.55,0,0,0,0,1.09,2.19,0.55,0,0,0,0,0,0.55
