stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,8.17,65.38,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,2.14,0,4.28,0,0,96.28,8.56,0,2.14,12.84,0,0,4.28,0,0
21Day,2.68,0,1.34,0,0,0,0,0,0,0,0,8.03,0,0,17.4,1.34,0,0,6.69,1.34,0,0,0,0
3Month,0,0,0.64,0,0.32,0.64,0,2.24,0.32,0.32,0.32,0.96,0,0.32,0,0,0.64,0,0,0,4.16,0,5.12,0
22Month,0,1.09,1.64,0,0,0.55,2.19,14.21,0.55,0,0.55,0.55,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0.55
