stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,1.34,4.02,0,4.02,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.64,0,9.28,0.32,0.96,0.32,7.68,2.56,6.08,0.96,1.6,2.88,4.8,0.32,0.32,0.32,0,0.64,0,0.64,0.32,0.96,3.84
22Month,0,0.55,1.09,0.55,0,0,1.09,5.47,0,2.73,0,0.55,1.09,3.28,0,0,0,1.09,0,0,0,0,0,0.55
