stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,12.26,0,0,0,0,0,16.35,16.35,8.17,0,0,0,0,16.35,81.73,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,1.07,0,0,0,0,0,0,1.07,21.4,1.07,1.07,0,0,0,1.07,5.35,7.49,1.07,0,0,3.21,0,1.07,0
21Day,0,0,12.05,0,0,0,0,2.68,1.34,0,0,2.68,1.34,4.02,4.02,0,13.39,6.69,5.35,0,0,2.68,0,8.03,5.35,2.68,0,0,4.02,1.34,1.34,8.03
3Month,0,0.96,7.68,0,0,0.64,0,0.32,2.56,0,0,12.48,4.48,0,4.8,0,1.92,2.56,2.88,0.96,0,0.96,0.32,0.96,0,0,0.64,0,0,0,0,3.52
22Month,0.55,1.64,2.73,0,0,0,0.55,2.19,2.19,0.55,0,15.85,2.73,0.55,14.21,0.55,0,2.19,2.73,0.55,0.55,0,0,0.55,0.55,0,0,1.09,0,0,0,1.09
