stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Oligodendrocyte
24hpf,0,0,0,0,0,0,12.26,0,0,0
21Day,0,0,0,0,0,0,12.05,0,0,0
3Month,0,0.32,0,0.32,0,0.32,10.56,0.64,0.32,0
22Month,0.55,0,1.64,2.73,0.55,1.09,66.69,1.09,0,1.09
