stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,4.02
3Month,0,0.32,0,0,0.96,0.32,0.64,0,0.32,2.88,0,0.96,0.32,0.96,0.64,1.28
22Month,0.55,0.55,0.55,12.57,3.83,1.09,1.09,1.09,0,7.11,0.55,0,0,0.55,0,0.55
