stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,12.26,0,4.09,16.35,4.09,69.47,0,0,0,0
72hpf,0,1.07,0,3.21,0,2.14,4.28,10.7,2.14,0,1.07,0
21Day,2.68,0,2.68,1.34,0,4.02,0,1.34,1.34,2.68,0,1.34
