stage,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
72hpf,0,0,0,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,1.34
22Month,0.55,9.29,0.55,1.09,0.55,0.55,0,0
