stage,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,4.09,0,0,0,0,0,0,12.26,0,0
72hpf,1.07,1.07,0,0,0,0,22.47,12.84,4.28,0
21Day,1.34,0,0,0,2.68,0,5.35,5.35,0,0
22Month,0,0,33.35,1.09,0,0.55,0,0,0,0.55
