stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,16.35,0,0,0,0,0,0,0,8.17,16.35,20.43,0,0,77.64,0,0,0,0,0,4.09,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,5.35,1.07,9.63,0,25.67,16.05,7.49,1.07,2.14,1.07,1.07,1.07,0
21Day,4.02,1.34,22.76,1.34,4.02,2.68,0,12.05,1.34,1.34,9.37,2.68,17.4,1.34,5.35,6.69,8.03,1.34,1.34,0,2.68,0,5.35
3Month,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
