stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,2.68,0,0,0,37.48,1.34,1.34,1.34,0,0,1.34,0,1.34,0
3Month,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0.55,3.83,0.55,0,0,0,0,0.55,0,0,0.55,0,0.55
