stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,4.28,0,0,0,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,6.69,0,0,1.34,0,6.69,0,0,0,5.35,2.68,0,0,4.02,0,0,0,0,0,0
3Month,0,0.32,4.16,0.32,1.28,0.32,144.94,1.6,2.88,2.24,0.96,7.36,1.28,0.32,0.64,0.64,0.64,1.28,0.96,0,2.88,3.52,0.64,0.32,0.96,0.64
22Month,0,0.55,1.64,0,0,1.09,174.93,0,3.28,0,0.55,2.19,0,7.11,0,0.55,0.55,0.55,0.55,0.55,0,1.64,1.09,0.55,0.55,0
