stage,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,2.14,1.07,5.35,1.07
21Day,0,0,0,1.34,5.35,1.34
22Month,0.55,0.55,0,0,0,0
