stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,2.14,0,0,86.65,12.84,3.21,1.07,0,0,3.21,0
21Day,1.34,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34,40.16,1.34,0,1.34,2.68,0,0,0
3Month,0,0.96,0,2.88,0,0.32,2.56,0.32,0.64,1.6,0.96,0.32,0,0,0,0.32,0.32,0,0,0,0,0.32,0,0.64
22Month,0,2.19,0.55,1.64,0,1.64,20.77,0,0,2.19,0,0,1.64,1.09,1.09,0,0,0,0.55,0,0.55,0,0,0
