stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,3.21,7.49,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,1.34,0,0,0
3Month,0,0.64,0.32,5.44,0.32,0,0.32,0,0,0.32,0,0,11.84,0.64,0,6.08,0.96,1.28,5.44,0.64,0.32,0,0.32,1.28,0.64,0,0.64,0,0.32,0.64,35.51,0,0.32,8.96,1.6
22Month,0.55,0,0.55,3.83,0,0,0.55,0,2.19,8.2,2.73,0,95.12,0,0.55,10.93,0,0,2.19,1.09,0,6.01,2.19,0,0.55,0,1.64,0.55,0,0.55,5.47,0,0,0,1.64
