stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0
3Month,0,0.32,0.96,0.32,0.32,0,0.64,0.32,2.24
