stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,8.56,0,0,0,0,113.4,3.21,1.07,0,3.21,0,0,0,8.56,2.14,0,0,0
21Day,1.34,0,8.03,4.02,2.68,0,0,0,0,0,0,0,0,0,1.34,0,1.34,72.28,1.34,9.37,0,4.02,4.02,0,1.34,8.03,4.02,0,0,1.34
3Month,0,0,1.6,0.96,0,0.32,0,0.64,0,2.24,0.32,0,0.64,0.32,0.96,0,0.32,0.32,0,12.8,0.32,0,0,14.4,0,0,0,0.32,3.52,0.32
22Month,0,0.55,1.09,0.55,0,0,0.55,0.55,0.55,3.83,0.55,0,0,1.64,0.55,0.55,0,2.73,0,14.76,0,0,0,14.21,0.55,2.19,0,0,0,0
