stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,1.34,2.68,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0
3Month,0,0,0,1.6,0,0,0,0,0,0,1.28,1.92,0,0.32,0,0,0.96,0,0.32,0.32
22Month,0,0.55,1.09,0,0,0,0.55,0.55,0,6.01,3.28,0.55,0,0,0,1.09,0,7.11,0,0
