stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,1.07,0,5.35,7.49,2.14,0,0,0,1.07,0,0,0
21Day,0,2.68,0,1.34,1.34,0,0,0,0,2.68,0,5.35,2.68,0,1.34,0,0,1.34,0,0,0
3Month,0,0.96,0,0,0,0.32,2.24,0.96,0,0,0.32,0.32,0,0,0,0.32,0.64,0,0.32,7.68,0.32
22Month,0,0.55,0,0,0,0,0.55,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0,0
