stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,53.12,0,0,0,12.26,171.63,0,4.09,0,0,0,0,0,0,0
72hpf,7.49,1.07,0,5.35,1.07,0,0,0,0,0,0,0,0,0,0,1.07,6.42,0,16.05,0,0,0,98.42,59.91,0,5.35,0,0,6.42,1.07,0,0,0
21Day,8.03,0,0,21.42,0,5.35,0,2.68,0,0,0,0,0,17.4,0,1.34,2.68,1.34,20.08,0,0,0,26.77,13.39,0,1.34,2.68,2.68,1.34,0,0,0,1.34
3Month,0.64,0.32,0.32,8.96,0,0,0.32,0.64,0,0,0,1.92,0.64,3.84,0.96,0.32,0.96,2.24,5.44,0.32,0,0.32,0.64,0.32,0,0,0,10.88,0,0,0.64,0.96,1.6
22Month,0,0.55,0,3.28,0,0,0,0.55,0.55,1.09,1.09,6.01,0,2.19,1.09,0,0.55,2.73,0,0,0.55,0,0,0,0.55,0,0.55,10.39,0,1.09,0,0,1.09
